Date,Value,Anomaly
189501,34.2,-3.2
189601,34.7,-2.7
189701,35.5,-1.9
189801,39.6,2.2
189901,36.4,-1.0
190001,37.4,0.0
190101,37.0,-0.4
190201,35.0,-2.4
190301,35.5,-1.9
190401,29.8,-7.6
190501,33.7,-3.7
190601,42.3,4.9
190701,40.5,3.1
190801,38.3,0.9
190901,39.6,2.2
191001,36.1,-1.3
191101,40.7,3.3
191201,29.3,-8.1
191301,46.9,9.5
191401,36.9,-0.5
191501,38.9,1.5
191601,42.3,4.9
191701,38.4,1.0
191801,26.5,-10.9
191901,40.6,3.2
192001,29.7,-7.7
192101,39.7,2.3
192201,33.4,-4.0
192301,35.2,-2.2
192401,39.4,2.0
192501,33.8,-3.6
192601,37.2,-0.2
192701,36.8,-0.6
192801,40.0,2.6
192901,37.8,0.4
193001,38.5,1.1
193101,38.2,0.8
193201,47.6,10.2
193301,45.6,8.2
193401,39.8,2.4
193501,35.0,-2.4
193601,34.3,-3.1
193701,45.7,8.3
193801,37.3,-0.1
193901,36.8,-0.6
194001,30.0,-7.4
194101,34.5,-2.9
194201,36.5,-0.9
194301,36.1,-1.3
194401,39.0,1.6
194501,31.5,-5.9
194601,40.2,2.8
194701,43.0,5.6
194801,30.1,-7.3
194901,43.5,6.1
195001,47.6,10.2
195101,42.5,5.1
195201,42.4,5.0
195301,42.4,5.0
195401,37.0,-0.4
195501,35.6,-1.8
195601,36.2,-1.2
195701,33.8,-3.6
195801,36.4,-1.0
195901,37.1,-0.3
196001,37.8,0.4
196101,31.9,-5.5
196201,38.0,0.6
196301,34.6,-2.8
196401,40.2,2.8
196501,34.0,-3.4
196601,37.1,-0.3
196701,41.6,4.2
196801,31.7,-5.7
196901,35.7,-1.7
197001,29.9,-7.5
197101,31.5,-5.9
197201,40.5,3.1
197301,40.6,3.2
197401,39.7,2.3
197501,41.7,4.3
197601,32.6,-4.8
197701,26.1,-11.3
197801,32.3,-5.1
197901,38.6,1.2
198001,38.0,0.6
198101,30.6,-6.8
198201,30.9,-6.5
198301,38.0,0.6
198401,33.5,-3.9
198501,33.0,-4.4
198601,39.3,1.9
198701,35.9,-1.5
198801,34.2,-3.2
198901,42.4,5.0
199001,46.0,8.6
199101,39.6,2.2
199201,40.9,3.5
199301,41.0,3.6
199401,31.6,-5.8
199501,42.6,5.2
199601,37.0,-0.4
199701,39.2,1.8
199801,45.8,8.4
199901,40.8,3.4
200001,37.8,0.4
200101,38.8,1.4
200201,45.4,8.0
200301,32.9,-4.5
200401,31.0,-6.4
200501,37.4,0.0
200601,47.6,10.2
200701,43.6,6.2
200801,42.4,5.0
200901,33.4,-4.0
201001,38.1,0.7
201101,34.8,-2.6
201201,44.2,6.8
201301,40.8,3.4
201401,35.5,-1.9
201501,36.1,-1.3
201601,40.8,3.4
201701,42.8,5.4
201801,38.7,1.3